======================================================================
Training for 200 iterations
Checkpoints will be saved to: checkpoints\gnn_validation
This will take approximately 30-60 minutes...

Starting training for 200 iterations...
Device: cpu
Map: simple_6
Policy: GCN (128x3)

Iteration 76/200 | Reward: 1.447 | Length: 45.6 | Episodes: 3220
Iteration 77/200 | Reward: 1.379 | Length: 50.0 | Episodes: 3260
Iteration 78/200 | Reward: 1.420 | Length: 49.1 | Episodes: 3301
Iteration 79/200 | Reward: 1.313 | Length: 50.0 | Episodes: 3342
Iteration 80/200 | Reward: 1.423 | Length: 50.0 | Episodes: 3383
  💾 Saved checkpoint: checkpoints\gnn_validation\checkpoint_000080.pt
Iteration 81/200 | Reward: 1.503 | Length: 50.0 | Episodes: 3423
Iteration 82/200 | Reward: 1.486 | Length: 50.0 | Episodes: 3464
Iteration 83/200 | Reward: 1.724 | Length: 49.0 | Episodes: 3506
Iteration 84/200 | Reward: 1.595 | Length: 50.0 | Episodes: 3547
Iteration 85/200 | Reward: 1.553 | Length: 50.0 | Episodes: 3588
Iteration 86/200 | Reward: 1.425 | Length: 50.0 | Episodes: 3628
Iteration 87/200 | Reward: 1.369 | Length: 50.0 | Episodes: 3669
Iteration 88/200 | Reward: 1.350 | Length: 50.0 | Episodes: 3710
Iteration 89/200 | Reward: 1.492 | Length: 50.0 | Episodes: 3751
Iteration 90/200 | Reward: 1.470 | Length: 50.0 | Episodes: 3791
  💾 Saved checkpoint: checkpoints\gnn_validation\checkpoint_000090.pt
Iteration 91/200 | Reward: 1.528 | Length: 50.0 | Episodes: 3831
Iteration 92/200 | Reward: 1.334 | Length: 50.0 | Episodes: 3871
Iteration 93/200 | Reward: 1.385 | Length: 47.0 | Episodes: 3912
Iteration 94/200 | Reward: 1.312 | Length: 50.0 | Episodes: 3952
Iteration 95/200 | Reward: 1.533 | Length: 50.0 | Episodes: 3992
Iteration 96/200 | Reward: 1.534 | Length: 50.0 | Episodes: 4032
Iteration 97/200 | Reward: 1.468 | Length: 50.0 | Episodes: 4073
Iteration 98/200 | Reward: 1.619 | Length: 50.0 | Episodes: 4113
Iteration 99/200 | Reward: 1.465 | Length: 50.0 | Episodes: 4155
Iteration 100/200 | Reward: 1.495 | Length: 50.0 | Episodes: 4195
  💾 Saved checkpoint: checkpoints\gnn_validation\checkpoint_000100.pt
Iteration 101/200 | Reward: 1.526 | Length: 50.0 | Episodes: 4235
Iteration 102/200 | Reward: 1.492 | Length: 50.0 | Episodes: 4275
Iteration 103/200 | Reward: 1.620 | Length: 46.1 | Episodes: 4316
Iteration 104/200 | Reward: 1.393 | Length: 50.0 | Episodes: 4357
Iteration 105/200 | Reward: 1.426 | Length: 50.0 | Episodes: 4397
Iteration 106/200 | Reward: 1.534 | Length: 48.3 | Episodes: 4438
Iteration 107/200 | Reward: 1.598 | Length: 49.5 | Episodes: 4479
Iteration 108/200 | Reward: 1.649 | Length: 50.0 | Episodes: 4520
Iteration 109/200 | Reward: 1.535 | Length: 48.5 | Episodes: 4562
Iteration 110/200 | Reward: 1.464 | Length: 47.4 | Episodes: 4603
  💾 Saved checkpoint: checkpoints\gnn_validation\checkpoint_000110.pt
Iteration 111/200 | Reward: 1.611 | Length: 50.0 | Episodes: 4644
Iteration 112/200 | Reward: 1.496 | Length: 50.0 | Episodes: 4684
Iteration 113/200 | Reward: 1.572 | Length: 50.0 | Episodes: 4725
Iteration 114/200 | Reward: 1.576 | Length: 50.0 | Episodes: 4767
Iteration 115/200 | Reward: 1.406 | Length: 50.0 | Episodes: 4807
Iteration 116/200 | Reward: 1.533 | Length: 50.0 | Episodes: 4847
Iteration 117/200 | Reward: 1.594 | Length: 50.0 | Episodes: 4887
Iteration 118/200 | Reward: 1.616 | Length: 50.0 | Episodes: 4928
Iteration 119/200 | Reward: 1.610 | Length: 50.0 | Episodes: 4968
Iteration 120/200 | Reward: 1.564 | Length: 50.0 | Episodes: 5009
  💾 Saved checkpoint: checkpoints\gnn_validation\checkpoint_000120.pt
Iteration 121/200 | Reward: 1.613 | Length: 50.0 | Episodes: 5049
Iteration 122/200 | Reward: 1.373 | Length: 50.0 | Episodes: 5089
Iteration 123/200 | Reward: 1.756 | Length: 50.0 | Episodes: 5129
